"IRD_ID","IRD_VEH_ID","IRD_TRIP_ID","IRD_DEV_START_AT","IRD_DEV_END_AT","IRD_DEV_START_LOC","IRD_DEV_START_CITY","IRD_DEV_START_DIS","IRD_DEV_START_STATE","IRD_DEV_END_LOC","IRD_DEV_END_CITY","IRD_DEV_END_DIS","IRD_DEV_END_STATE","IRD_DEV_DUR_IN_MINS","IRD_DEV_CREATED_AT","IRD_DEV_CREATED_BY","IRD_DEV_UPDATED_AT","IRD_DEV_UPDATED_BY","IRD_DEV_MSG","IRD_IS_DONE","IS_CHECKED"
160789,"1612","0682068051","2015-10-09 09:21:36","2015-10-09 09:27:37","0.10 Km. E From SIDDARTH FILLING STATION","Ambala"," Ambala","Haryana","0.01 Km. SW From SIDDARTH FILLING STATION","Ambala"," Ambala","Haryana",6,"2015-10-09 12:05:36","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160788,"4276","0682067868","2015-10-09 09:13:00","2015-10-09 09:28:17","0.03 Km. E From JALANDHAR TERMINAL","Jalandhar - I"," - I,"," I,Jalandhar-Punjab","0.09 Km. N From JALANDHAR TERMINAL","Jalandhar - I"," - I,"," I,Jalandhar-Punjab",15,"2015-10-09 11:59:03","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160787,"4044","0682067869","2015-10-09 10:55:08","2015-10-09 11:00:11","0.65 Km. S From Dam Dam Sahib","Baba Bakala"," Amritsar","Punjab","0.78 Km. NE From HARMAN FILLING STATION-636","Baba Bakala"," -636;Baba Bakala,","636;Baba Bakala,Amritsar-Punjab",5,"2015-10-09 11:58:10","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160786,"4044","0682067869","2015-10-09 09:13:20","2015-10-09 09:22:41","0.04 Km. N From JALANDHAR TERMINAL","Jalandhar - I"," - I,"," I,Jalandhar-Punjab","0.10 Km. N From JALANDHAR TERMINAL","Jalandhar - I"," - I,"," I,Jalandhar-Punjab",9,"2015-10-09 11:58:04","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160785,"2357","0682067750","2015-10-09 10:41:58","2015-10-09 10:52:38","1.91 Km. SW From Pt. Bakshi Das Inter College","Meerut"," Meerut","Uttar Pradesh","0.22 Km. N From Puda","Meerut"," Meerut","Uttar Pradesh",10,"2015-10-09 11:57:16","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160784,"2357","0682067750","2015-10-09 09:15:33","2015-10-09 09:21:43","0.07 Km. N From PARTAPUR DEPOT","Meerut"," Meerut","Uttar Pradesh","0.08 Km. N From PARTAPUR DEPOT","Meerut"," Meerut","Uttar Pradesh",6,"2015-10-09 11:57:13","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160783,"5439","0682067819","2015-10-09 09:12:19","2015-10-09 09:17:20","0.06 Km. S From DEVANAGONTHI TERMINAL","Hosakote"," Bangalore (Rural)","Karnataka","0.05 Km. SW From DEVANAGONTHI TERMINAL","Hosakote"," Bangalore (Rural)","Karnataka",5,"2015-10-09 11:56:11","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160782,"5223","0682066931","2015-10-09 10:28:40","2015-10-09 10:56:29","0.04 Km. W From Silk Board Bus Stop","Banglore"," Banglore","Karnataka","0.00 Km. NE From Classis Comfort Hotel Loding","Banglore"," Banglore","Karnataka",27,"2015-10-09 11:55:13","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160781,"5223","0682066931","2015-10-09 08:56:36","2015-10-09 09:05:14","0.95 Km. SE From ITC Biscuit Factory","Hosakote"," Bangalore (Rural)","Karnataka","1.23 Km. E From Manoj Medicals","Bangalore East"," Bangalore (Rural)","Karnataka",8,"2015-10-09 11:55:08","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160780,"4063","0682068017","2015-10-09 09:20:31","2015-10-09 09:31:13","0.02 Km. E From JALANDHAR TERMINAL","Jalandhar - I"," - I,"," I,Jalandhar-Punjab","0.09 Km. N From JALANDHAR TERMINAL","Jalandhar - I"," - I,"," I,Jalandhar-Punjab",10,"2015-10-09 11:49:47","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
