CAVL_SERV_PROVIDER|TRIP NO|Carrier No|TYPE OF CLOSURE|CLOSURE LOCATION|CLOSURE DATE & TIME|TOTAL TRIP DISTANCE|TOTAL DELIVERY TIME|TOTAL STOPPAGE TIME|STOPPAGE AT TOLLS|STOPPAGE AT SATE BORDER|STOPPAGE AT DEALER|Harsh Braking instances|Over speeding Instances|Night Driving Instances (2:00 AM to 5:00 AM)|DAY0|DAY1|DAY2|DAY3|DAY4|DAY5|DAY6|DAY7|DAY8|DAY9|DAY10|DAY11|DAY12|DAY13|DAY14|DAY15|DAY16|DAY17|DAY18|DAY19|DAY20
EFKON|4590946|HR55K8921|A|GANESH CARS-VELLORE|17-Aug-2015 10:30|2207|161:58:22|103:51:47|1:7:39|1:16:18||0|35|1|32|33|488|341|315|511|301|186|||||||||||||
EFKON|4593807|HR55L0810|A|SPECTRA MOTORS-THANE|17-Aug-2015 07:59|1370|129:14:29|90:27:56|0:16:52|2:13:18||1|19|0|20|177|324|517|244|88|||||||||||||||
EFKON|4593807|HR55L0810|A|SPECTRA MOTORS-THANE|17-Aug-2015 07:59|1370|129:14:29|90:27:56|0:16:52|2:13:18||1|19|0|20|177|324|517|244|88|||||||||||||||
EFKON|4593807|HR55L0810|A|SPECTRA MOTORS-THANE|17-Aug-2015 07:59|1370|129:14:29|90:27:56|0:16:52|2:13:18||1|19|0|20|177|324|517|244|88|||||||||||||||
EFKON|4593807|HR55L0810|A|SAI SERVICE STATION-BOMBAY|17-Aug-2015 06:32|1351|127:47:39|89:46:10|0:16:52|2:13:18||1|19|0|20|177|324|517|244|69|||||||||||||||
EFKON|4593807|HR55L0810|A|SPECTRA MOTORS-THANE|17-Aug-2015 06:32|1351|127:47:39|89:46:10|0:16:52|2:13:18||1|19|0|20|177|324|517|244|69|||||||||||||||
EFKON|4600649|HR55L2688|A|MANESAR PLANT|17-Aug-2015 12:26|12|0:29:36|||||0|0|0|12||||||||||||||||||||
EFKON|4595990|HR55L2715|A|COMET MOTORS-SURAT|17-Aug-2015 09:26|1216|104:52:3|79:37:50|0:14:24|12:49:14||0|2|1|5|523|300|260|127||||||||||||||||
EFKON|4595990|HR55L2715|A|KATARIA AUTOMOBILES-SURAT|17-Aug-2015 09:35|1221|105:1:4|79:37:50|0:14:24|12:49:14||0|2|1|5|523|300|260|133||||||||||||||||
EFKON|4595990|HR55L2715|A|DHRU MOTORS-SURAT|17-Aug-2015 07:25|1173|102:50:30|78:28:36|0:14:24|12:49:14||0|2|1|5|523|300|260|84||||||||||||||||
